,date,type,price,shares,cost,cash,portfolio_value,proceeds
0,2023-03-03 00:00:00+05:30,BUY,17594.349609375,53,933386.404799707,66613.595200293,1000000.0,
1,2023-03-09 00:00:00+05:30,SELL,17589.599609375,53,,997976.738156836,998862.374497168,931363.142956543
2,2023-03-31 00:00:00+05:30,BUY,17359.75,54,938317.055175,59659.68298183603,997976.738156836,
3,2023-04-11 00:00:00+05:30,SELL,17722.30078125,54,,1015754.7711392579,1016663.925169336,956095.0881574219
4,2023-04-12 00:00:00+05:30,BUY,17812.400390625,54,962783.3972337891,52971.37390546885,1015754.7711392579,
5,2023-04-17 00:00:00+05:30,SELL,17706.849609375,54,,1008232.8914267579,1009141.2528117188,955261.5175212891
6,2023-04-24 00:00:00+05:30,BUY,17743.400390625,53,941293.600912793,66939.29051396495,1008232.8914267579,
7,2023-04-25 00:00:00+05:30,SELL,17769.25,53,,1007814.858776465,1008709.540513965,940875.5682625
8,2023-05-08 00:00:00+05:30,BUY,18264.400390625,52,950651.0816917969,57163.77708466805,1007814.858776465,
9,2023-05-11 00:00:00+05:30,SELL,18297.0,52,,1007703.9052846681,1008607.777084668,950540.1282
10,2023-06-30 00:00:00+05:30,BUY,19189.05078125,49,941156.7385951172,66547.16668955085,1007703.9052846681,
11,2023-07-03 00:00:00+05:30,SELL,19322.55078125,49,,1012452.6902319336,1013352.1549708009,945905.5235423828
12,2023-10-27 00:00:00+05:30,BUY,19047.25,50,953267.244375,59185.4458569336,1012452.6902319336,
13,2023-10-30 00:00:00+05:30,SELL,19140.900390625,50,,1015321.2726196289,1016230.4653881836,956135.8267626953
14,2023-11-15 00:00:00+05:30,BUY,19675.44921875,48,945318.762984375,70002.50963525393,1015321.2726196289,
15,2023-11-16 00:00:00+05:30,SELL,19765.19921875,48,,1017830.779050879,1018732.0721352539,947828.269415625
